                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5846,                 1.7331,                 1.2355,                0.90805,                0.95888,                0.94623,                0.59263,                 1.3365,                0.82956,                 1.2219,               0.070097,              0.0033226,              0.0033226
                      1,                 1.4405,                 0.9471,                 1.1279,                0.91571,                0.95335,                0.95522,                0.61908,                 1.3033,                  0.775,                 1.2073,               0.040053,               0.006612,               0.006612
                      2,                 1.4567,                0.90475,                 1.1286,                 0.9094,                0.96043,                0.95748,                0.60288,                 1.3931,                0.75221,                 1.2391,              0.0099649,              0.0098574,              0.0098574
                      3,                 1.3909,                0.83908,                 1.1176,                0.91233,                0.97669,                0.95785,                0.61391,                 1.3467,                0.69413,                 1.2147,               0.009802,               0.009802,               0.009802
                      4,                 1.3248,                0.77107,                  1.105,                0.93119,                0.96893,                0.95994,                0.62214,                 1.3532,                0.64712,                 1.2109,               0.009802,               0.009802,               0.009802
                      5,                 1.2865,                0.72606,                   1.09,                 0.9249,                0.97241,                0.96283,                 0.6578,                 1.2232,                 0.6179,                 1.1914,               0.009736,               0.009736,               0.009736
                      6,                  1.257,                0.70041,                 1.0878,                0.92657,                0.97092,                 0.9631,                0.65052,                 1.2611,                0.61015,                 1.1951,                0.00967,                0.00967,                0.00967
                      7,                 1.2377,                0.67693,                 1.0775,                  0.925,                 0.9704,                0.95917,                0.66026,                 1.2289,                0.59662,                 1.1923,               0.009604,               0.009604,               0.009604
                      8,                 1.2162,                0.66338,                  1.077,                0.93164,                 0.9508,                0.96322,                0.66124,                  1.228,                0.61287,                  1.186,               0.009538,               0.009538,               0.009538
                      9,                 1.2095,                0.65884,                 1.0762,                0.92453,                0.97324,                0.96277,                0.65409,                 1.2412,                0.57963,                  1.194,               0.009472,               0.009472,               0.009472
                     10,                 1.1932,                0.63766,                 1.0687,                0.93321,                0.96987,                0.96529,                0.66987,                 1.2124,                0.57316,                  1.184,               0.009406,               0.009406,               0.009406
                     11,                 1.1835,                0.63375,                 1.0714,                0.92745,                0.97013,                0.96517,                0.66965,                 1.2053,                0.56891,                 1.1759,                0.00934,                0.00934,                0.00934
                     12,                  1.173,                0.62542,                 1.0624,                0.92871,                 0.9657,                0.96576,                 0.6713,                  1.206,                0.57923,                 1.1844,               0.009274,               0.009274,               0.009274
                     13,                 1.1674,                0.61618,                 1.0591,                0.92402,                0.97851,                 0.9593,                0.65211,                 1.2485,                0.57085,                 1.1968,               0.009208,               0.009208,               0.009208
                     14,                  1.163,                0.61426,                 1.0584,                0.91842,                0.97039,                0.95142,                0.64009,                 1.2803,                0.58903,                 1.1994,               0.009142,               0.009142,               0.009142
                     15,                 1.1562,                 0.6025,                 1.0625,                0.92712,                0.97006,                 0.9658,                0.67477,                  1.196,                0.54142,                 1.1766,               0.009076,               0.009076,               0.009076
                     16,                 1.1466,                0.60621,                 1.0564,                0.93143,                0.97303,                0.96601,                0.67562,                 1.1996,                0.55221,                 1.1794,                0.00901,                0.00901,                0.00901
                     17,                 1.1429,                0.59578,                 1.0562,                0.92517,                0.97403,                0.96643,                0.67327,                 1.2035,                0.54544,                 1.1731,               0.008944,               0.008944,               0.008944
                     18,                 1.1339,                0.58656,                 1.0533,                0.93048,                0.96971,                0.96417,                0.67145,                 1.2082,                0.53995,                 1.1787,               0.008878,               0.008878,               0.008878
                     19,                 1.1262,                0.58675,                 1.0514,                0.92226,                0.96593,                0.96388,                0.67073,                  1.204,                0.58245,                 1.1787,               0.008812,               0.008812,               0.008812
                     20,                 1.1268,                0.58593,                  1.055,                0.93074,                0.97201,                0.96353,                0.66612,                 1.2084,                0.53091,                 1.1781,               0.008746,               0.008746,               0.008746
                     21,                 1.1271,                0.58308,                  1.053,                0.93285,                0.97086,                0.96752,                0.67752,                 1.1859,                0.54054,                 1.1648,                0.00868,                0.00868,                0.00868
                     22,                 1.1221,                0.57603,                 1.0503,                0.93501,                0.96133,                0.96533,                0.67346,                 1.1984,                0.54945,                 1.1737,               0.008614,               0.008614,               0.008614
                     23,                 1.1172,                0.57263,                 1.0494,                0.92684,                0.96827,                0.96607,                0.67474,                 1.1975,                0.53733,                 1.1738,               0.008548,               0.008548,               0.008548
